iter	Passed	Remaining
222	971	3386
223	974	3376
224	978	3368
225	982	3364
226	986	3357
227	989	3349
228	991	3339
229	994	3330
230	998	3325
231	1002	3318
232	1006	3313
233	1009	3304
234	1012	3297
235	1016	3291
236	1020	3285
237	1023	3278
238	1027	3271
239	1030	3262
240	1032	3253
241	1036	3245
242	1039	3237
243	1043	3233
244	1046	3225
245	1049	3217
246	1053	3211
247	1057	3206
248	1061	3202
249	1064	3193
250	1067	3185
251	1070	3177
252	1073	3168
253	1075	3157
254	1078	3151
255	1082	3145
256	1086	3142
257	1091	3139
258	1095	3133
259	1098	3125
260	1101	3117
261	1108	3122
262	1113	3120
263	1118	3119
264	1122	3112
265	1125	3105
266	1129	3100
267	1133	3096
268	1137	3091
269	1140	3083
270	1144	3078
271	1149	3075
272	1152	3069
273	1156	3063
274	1160	3058
275	1163	3053
276	1166	3045
277	1169	3036
278	1171	3027
279	1175	3023
280	1180	3019
281	1183	3012
282	1185	3004
283	1189	2999
284	1192	2990
285	1195	2984
286	1199	2978
287	1202	2972
288	1205	2966
289	1208	2959
290	1211	2952
291	1215	2947
292	1218	2939
293	1221	2933
294	1225	2928
295	1227	2919
296	1230	2912
297	1233	2904
298	1236	2899
299	1239	2892
300	1243	2886
301	1246	2881
302	1249	2874
303	1252	2866
304	1254	2859
305	1258	2853
306	1261	2848
307	1266	2845
308	1270	2840
309	1273	2835
310	1277	2829
311	1281	2825
312	1285	2821
313	1288	2815
314	1291	2808
315	1294	2802
316	1298	2797
317	1301	2791
318	1307	2790
319	1312	2789
320	1318	2788
321	1321	2782
322	1324	2776
323	1328	2771
324	1331	2765
325	1334	2759
326	1337	2752
327	1340	2747
328	1345	2743
329	1348	2738
330	1352	2733
331	1355	2727
332	1359	2723
333	1368	2728
334	1371	2722
335	1376	2721
336	1379	2714
337	1383	2709
338	1386	2703
339	1389	2697
340	1392	2691
341	1395	2685
342	1398	2678
343	1402	2673
344	1405	2668
345	1409	2663
346	1416	2666
347	1419	2659
348	1422	2653
349	1425	2646
350	1428	2640
351	1431	2635
352	1435	2630
353	1437	2623
354	1440	2617
355	1443	2610
356	1446	2605
357	1450	2600
358	1453	2594
359	1456	2588
360	1458	2582
361	1461	2576
362	1464	2570
363	1467	2564
364	1470	2558
365	1475	2555
366	1478	2550
367	1481	2544
368	1484	2537
369	1487	2533
370	1491	2528
371	1494	2523
372	1496	2515
373	1498	2508
374	1500	2501
375	1502	2493
376	1505	2487
377	1507	2480
378	1510	2475
379	1513	2468
380	1516	2463
381	1518	2457
382	1522	2453
383	1525	2447
384	1528	2441
385	1531	2436
386	1534	2431
387	1537	2425
388	1540	2420
389	1544	2415
390	1547	2409
391	1549	2404
392	1553	2399
393	1557	2394
394	1560	2389
395	1562	2383
396	1565	2378
397	1569	2373
398	1572	2368
399	1576	2364
400	1579	2358
401	1582	2353
402	1585	2348
403	1588	2343
404	1592	2339
405	1596	2335
406	1599	2330
407	1602	2325
408	1605	2320
409	1608	2315
410	1612	2310
411	1615	2305
412	1618	2301
413	1621	2295
414	1624	2289
415	1627	2285
416	1631	2280
417	1635	2276
418	1638	2272
419	1641	2267
420	1644	2261
421	1648	2257
422	1651	2252
423	1654	2247
424	1657	2242
425	1660	2237
426	1663	2232
427	1666	2227
428	1669	2222
429	1672	2216
430	1675	2212
431	1679	2207
432	1682	2202
433	1685	2197
434	1688	2193
435	1691	2188
436	1695	2184
437	1698	2179
438	1701	2174
439	1706	2171
440	1709	2166
441	1712	2162
442	1716	2158
443	1720	2154
444	1723	2150
445	1727	2146
446	1731	2141
447	1733	2136
448	1736	2131
449	1738	2125
450	1741	2119
451	1743	2113
452	1745	2107
453	1747	2101
454	1749	2096
455	1752	2090
456	1754	2084
457	1756	2078
458	1758	2072
459	1760	2066
460	1762	2060
461	1764	2054
462	1766	2049
463	1769	2043
464	1771	2038
465	1773	2032
466	1775	2026
467	1777	2021
468	1780	2015
469	1782	2009
470	1784	2004
471	1787	1999
472	1789	1993
473	1791	1988
474	1795	1984
475	1798	1979
476	1803	1977
477	1807	1974
478	1811	1970
479	1818	1969
480	1823	1967
481	1828	1965
482	1832	1961
483	1835	1957
484	1839	1953
485	1844	1950
486	1848	1946
487	1852	1943
488	1856	1940
489	1861	1937
490	1866	1935
491	1870	1931
492	1875	1928
493	1878	1924
494	1881	1919
495	1885	1915
496	1890	1913
497	1894	1910
498	1898	1906
499	1903	1903
500	1906	1898
501	1908	1893
502	1911	1888
503	1914	1883
504	1917	1879
505	1920	1874
506	1923	1870
507	1926	1865
508	1929	1861
509	1934	1858
510	1936	1853
511	1939	1848
512	1941	1842
513	1943	1838
514	1946	1833
515	1948	1828
516	1951	1822
517	1953	1817
518	1956	1812
519	1958	1807
520	1960	1802
521	1962	1797
522	1964	1791
523	1966	1786
524	1968	1781
525	1971	1776
526	1975	1773
527	1979	1769
528	1982	1765
529	1986	1761
530	1988	1756
531	1991	1751
532	1994	1747
533	1996	1742
534	2000	1738
535	2004	1735
536	2007	1731
537	2010	1726
538	2013	1722
539	2017	1718
540	2021	1714
541	2024	1710
542	2027	1706
543	2030	1702
544	2033	1697
545	2036	1693
546	2038	1688
547	2041	1683
548	2044	1679
549	2047	1675
550	2049	1670
551	2053	1666
552	2056	1662
553	2059	1657
554	2063	1654
555	2066	1650
556	2070	1646
557	2074	1643
558	2077	1639
559	2081	1635
560	2084	1631
561	2088	1627
562	2090	1622
563	2096	1620
564	2099	1616
565	2102	1611
566	2106	1608
567	2109	1604
568	2113	1600
569	2117	1597
570	2120	1593
571	2124	1589
572	2127	1585
573	2130	1580
574	2132	1576
575	2134	1571
576	2139	1568
577	2143	1565
578	2146	1560
579	2149	1556
580	2153	1552
581	2159	1550
582	2162	1546
583	2165	1542
584	2168	1538
585	2171	1534
586	2176	1531
587	2181	1528
588	2185	1524
589	2189	1521
590	2192	1517
591	2195	1513
592	2198	1509
593	2202	1505
594	2205	1501
595	2207	1496
596	2210	1492
597	2211	1486
598	2213	1482
599	2216	1477
600	2219	1473
601	2224	1470
602	2227	1466
603	2229	1461
604	2232	1457
605	2234	1452
606	2236	1448
607	2238	1443
608	2241	1439
609	2243	1434
610	2246	1430
611	2248	1425
612	2250	1420
613	2253	1416
614	2255	1411
615	2257	1407
616	2260	1403
617	2262	1398
618	2265	1394
619	2267	1389
620	2269	1385
621	2271	1380
622	2273	1375
623	2276	1371
624	2279	1367
625	2281	1363
626	2283	1358
627	2286	1354
628	2288	1349
629	2291	1345
630	2293	1341
631	2295	1336
632	2297	1331
633	2299	1327
634	2301	1322
635	2304	1318
636	2306	1314
637	2308	1310
638	2312	1306
639	2314	1301
640	2316	1297
641	2318	1293
642	2321	1288
643	2323	1284
644	2325	1280
645	2328	1275
646	2330	1271
647	2332	1266
648	2334	1262
649	2336	1258
650	2339	1254
651	2341	1249
652	2344	1245
653	2347	1241
654	2349	1237
655	2351	1233
656	2353	1228
657	2356	1224
658	2358	1220
659	2361	1216
660	2363	1212
661	2365	1207
662	2368	1203
663	2370	1199
664	2371	1194
665	2374	1190
666	2377	1186
667	2379	1182
668	2382	1178
669	2384	1174
670	2387	1170
671	2391	1167
672	2393	1162
673	2396	1159
674	2399	1155
675	2401	1151
676	2405	1147
677	2409	1144
678	2412	1140
679	2414	1136
680	2418	1132
681	2421	1128
682	2424	1125
683	2427	1121
684	2430	1117
685	2433	1114
686	2436	1110
687	2441	1107
688	2445	1103
689	2448	1100
690	2452	1096
691	2458	1094
692	2462	1090
693	2466	1087
694	2475	1086
695	2479	1082
696	2483	1079
697	2488	1076
698	2491	1073
699	2495	1069
700	2500	1066
701	2505	1063
702	2509	1060
703	2513	1056
704	2520	1054
705	2525	1051
706	2529	1048
707	2535	1045
708	2540	1042
709	2546	1040
710	2550	1036
711	2554	1033
712	2558	1029
713	2561	1026
714	2566	1023
715	2570	1019
716	2574	1015
717	2576	1012
718	2579	1008
719	2582	1004
720	2585	1000
721	2588	996
722	2594	994
723	2598	990
724	2601	986
725	2604	983
726	2606	978
727	2610	975
728	2613	971
729	2617	968
730	2621	964
731	2625	961
732	2628	957
733	2631	953
734	2634	949
735	2637	946
736	2644	943
737	2648	940
738	2652	936
739	2657	933
740	2660	929
741	2663	926
742	2666	922
743	2671	919
744	2674	915
745	2678	911
746	2682	908
747	2686	905
748	2690	901
749	2693	897
750	2696	894
751	2701	890
752	2705	887
753	2708	883
754	2712	880
755	2716	876
756	2718	872
757	2720	868
758	2722	864
759	2724	860
760	2726	856
761	2729	852
762	2732	848
763	2734	844
764	2736	840
765	2738	836
766	2741	832
767	2743	828
768	2745	824
769	2747	820
770	2749	816
771	2752	812
772	2754	808
773	2756	804
774	2759	801
775	2762	797
776	2764	793
777	2766	789
778	2768	785
779	2770	781
780	2772	777
781	2775	773
782	2777	769
783	2780	765
784	2781	761
785	2783	757
786	2785	754
787	2788	750
788	2790	746
789	2792	742
790	2795	738
791	2797	734
792	2799	730
793	2803	727
794	2806	723
795	2815	721
796	2819	718
797	2824	715
798	2828	711
799	2832	708
800	2838	705
801	2841	701
802	2845	698
803	2849	694
804	2853	691
805	2857	687
806	2861	684
807	2863	680
808	2868	677
809	2872	673
810	2875	670
811	2882	667
812	2886	663
813	2889	660
814	2897	657
815	2900	654
816	2904	650
817	2906	646
818	2909	642
819	2914	639
820	2917	636
821	2920	632
822	2923	628
823	2927	625
824	2930	621
825	2933	617
826	2935	614
827	2939	610
828	2942	607
829	2945	603
830	2948	599
831	2952	596
832	2956	592
833	2959	589
834	2962	585
835	2965	581
836	2967	577
837	2970	574
838	2974	570
839	2978	567
840	2982	563
841	2986	560
842	2990	556
843	2995	553
844	2998	550
845	3002	546
846	3005	542
847	3010	539
848	3013	536
849	3018	532
850	3022	529
851	3027	525
852	3032	522
853	3037	519
854	3043	516
855	3047	512
856	3054	509
857	3058	506
858	3061	502
859	3065	499
860	3069	495
861	3073	492
862	3078	488
863	3083	485
864	3086	481
865	3088	477
866	3091	474
867	3094	470
868	3096	466
869	3099	463
870	3101	459
871	3103	455
872	3105	451
873	3108	448
874	3110	444
875	3113	440
876	3115	436
877	3117	433
878	3119	429
879	3122	425
880	3124	421
881	3126	418
882	3129	414
883	3131	410
884	3134	407
885	3137	403
886	3139	399
887	3141	396
888	3143	392
889	3146	388
890	3148	385
891	3150	381
892	3152	377
893	3154	374
894	3157	370
895	3159	366
896	3161	363
897	3164	359
898	3166	355
899	3168	352
900	3170	348
901	3172	344
902	3176	341
903	3179	337
904	3190	334
905	3194	331
906	3197	327
907	3201	324
908	3205	320
909	3208	317
910	3212	313
911	3217	310
912	3220	306
913	3224	303
914	3229	300
915	3235	296
916	3239	293
917	3244	289
918	3250	286
919	3255	283
920	3259	279
921	3263	276
922	3268	272
923	3273	269
924	3278	265
925	3281	262
926	3284	258
927	3287	255
928	3290	251
929	3294	247
930	3298	244
931	3300	240
932	3303	237
933	3305	233
934	3307	229
935	3310	226
936	3312	222
937	3314	219
938	3317	215
939	3320	211
940	3323	208
941	3326	204
942	3330	201
943	3332	197
944	3336	194
945	3339	190
946	3342	187
947	3345	183
948	3349	180
949	3353	176
950	3356	172
951	3360	169
952	3364	165
953	3368	162
954	3371	158
955	3377	155
956	3381	151
957	3386	148
958	3389	144
959	3393	141
960	3403	138
961	3406	134
962	3414	131
963	3418	127
964	3422	124
965	3428	120
966	3432	117
967	3435	113
968	3438	110
969	3442	106
970	3447	102
971	3450	99
972	3456	95
973	3461	92
974	3465	88
975	3470	85
976	3473	81
977	3477	78
978	3481	74
979	3485	71
980	3490	67
981	3495	64
982	3500	60
983	3503	56
984	3507	53
985	3512	49
986	3517	46
987	3520	42
988	3523	39
989	3526	35
990	3529	32
991	3533	28
992	3537	24
993	3540	21
994	3542	17
995	3546	14
996	3549	10
997	3553	7
998	3556	3
999	3559	0
