iter	RMSE
200	701161.1822
201	698890.0423
202	697876.5122
203	696317.0554
204	695809.6634
205	694382.8927
206	693111.5035
207	691437.61
208	690034.581
209	688938.5126
210	686809.2445
211	685920.3361
212	684791.8693
213	683558.8661
214	682078.0878
215	681264.0579
216	680053.0147
217	678800.0103
218	677257.4691
219	676401.6475
220	675365.5962
221	673708.0259
222	671765.3692
223	670408.0841
224	669181.3367
225	668171.0617
226	666625.4182
227	665117.9589
228	664304.609
229	663308.7169
230	663117.7234
231	661892.6079
232	661210.603
233	660131.3975
234	658337.9769
235	658083.2868
236	657035.5953
237	655976.4952
238	654821.6382
239	653378.7435
240	652443.3811
241	651286.0877
242	649860.4302
243	648255.2672
244	647460.3087
245	646155.5322
246	644889.1777
247	644768.1024
248	644044.0883
249	643065.7667
250	642379.3772
251	641699.2944
252	640883.8191
253	639729.6658
254	639300.8967
255	637540.8465
256	637228.7874
257	637085.9809
258	636274.933
259	635724.5296
260	635303.1726
261	634259.7212
262	633388.9327
263	632681.2132
264	631580.0219
265	630452.8166
266	628725.1405
267	627651.9399
268	627310.2916
269	627148.6786
270	626346.4178
271	624981.5505
272	624654.4465
273	624545.2008
274	623771.5268
275	623015.0885
276	621450.3533
277	621345.8063
278	620143.3412
279	619467.6042
280	619140.1246
281	618242.9736
282	616673.3977
283	615402.2526
284	615095.0322
285	614613.519
286	614346.2102
287	613160.1869
288	611932.6032
289	610928.8138
290	610459.8063
291	610105.5171
292	609031.1913
293	608500.281
294	607512.683
295	605867.9334
296	605171.533
297	604860.0474
298	604568.5101
299	604487.2915
300	602913.5927
301	602009.2604
302	601338.8704
303	600522.3005
304	599324.5255
305	599052.7699
306	598784.2552
307	598529.6148
308	597650.006
309	596882.5059
310	595360.1375
311	595018.8756
312	594356.8524
313	593342.9244
314	592255.5974
315	590524.5803
316	589969.4549
317	589522.3869
318	588933.6123
319	587411.6381
320	586261.7372
321	585974.5801
322	583718.226
323	583653.4092
324	582778.9777
325	582445.3325
326	581849.8837
327	580951.23
328	580643.2899
329	579897.1905
330	578426.3419
331	577991.868
332	576829.0821
333	575493.9798
334	574640.8579
335	573511.8649
336	572741.4543
337	572464.003
338	572405.4656
339	572102.0463
340	572030.2713
341	571724.6242
342	571522.5178
343	571020.2157
344	569236.3574
345	569163.0448
346	567626.9325
347	567399.2648
348	566237.9721
349	565308.9601
350	563661.5142
351	563596.49
352	563113.1785
353	561675.4311
354	560483.4029
355	560216.6249
356	559510.4343
357	558925.4118
358	558167.4797
359	557924.2313
360	557424.9398
361	557142.6357
362	556339.2465
363	556077.5436
364	555540.9894
365	555171.1863
366	553997.2711
367	553517.2116
368	552648.0385
369	552410.0895
370	551982.4922
371	551314.033
372	550415.8051
373	549740.0699
374	548567.6025
375	548354.352
376	548294.169
377	548064.8128
378	547454.4139
379	546583.2516
380	546394.5476
381	545313.0129
382	543760.5234
383	543216.304
384	542861.8413
385	541992.9089
386	541402.9227
387	540795.7091
388	540682.3988
389	540380.1872
390	540326.1747
391	539980.1237
392	539761.4758
393	539551.0923
394	539255.339
395	538988.1779
396	538269.7798
397	537553.2676
398	536407.0705
399	536202.1582
400	534971.6305
401	534590.1817
402	534066.1734
403	533464.9982
404	533203.2723
405	532397.7669
406	532020.844
407	531828.8783
408	530964.0751
409	530780.8232
410	529542.0785
411	528811.4267
412	527854.2237
413	527190.2056
414	527010.6912
415	526103.5219
416	525895.3498
417	525486.418
418	525307.6024
419	524898.4758
420	523860.0875
421	523819.5349
422	523642.4044
423	523002.7477
424	522958.9001
425	522776.8598
426	521763.7429
427	521377.5501
428	521327.5006
429	520893.647
430	519494.9516
431	518681.5913
432	518520.593
433	518061.5185
434	517894.7195
435	517208.9251
436	516091.1181
437	515628.6646
438	515340.1802
439	514789.5328
440	514076.0312
441	513910.9746
442	513766.6283
443	513254.678
444	512866.0856
445	512509.4439
446	512288.5158
447	511964.8763
448	511280.5835
449	510842.381
450	510565.7323
451	509886.7331
452	509281.3208
453	509141.7475
454	508850.6691
455	508703.6655
456	507498.109
457	507048.7998
458	506687.3498
459	506013.0996
460	505768.862
461	505647.4613
462	505507.5017
463	504312.9836
464	503410.5005
465	502836.0716
466	502739.5893
467	502370.3996
468	501463.8647
469	500863.174
470	500421.874
471	499776.667
472	499650.1906
473	499525.5365
474	498474.8031
475	498278.4563
476	498044.3015
477	496351.8667
478	496226.8148
479	495833.4824
480	495232.053
481	494879.9525
482	494665.235
483	494107.8608
484	493634.8883
485	493473.9328
486	493346.9095
487	493147.8886
488	492353.7795
489	491482.9066
490	491116.7794
491	489946.8232
492	489206.3964
493	488898.373
494	488713.9956
495	487616.3601
496	487219.7698
497	487079.2551
498	486666.6901
499	486620.7816
500	485929.4676
501	485231.2576
502	484888.6301
503	483930.2886
504	483461.8809
505	482839.5501
506	481818.974
507	481609.7046
508	481584.7353
509	480982.7608
510	480457.7658
511	480261.7397
512	479620.476
513	479135.1968
514	478926.237
515	478809.0824
516	478029.8958
517	477679.0269
518	477657.6806
519	476544.6851
520	476405.7023
521	475550.7533
522	474349.013
523	474304.0034
524	473934.0982
525	473823.7878
526	473231.5451
527	472505.7282
528	472306.406
529	471602.7498
530	471371.3953
531	470803.0666
532	470348.3505
533	470270.6855
534	470147.4533
535	469818.4379
536	469463.7469
537	468799.3156
538	467589.1514
539	467171.1708
540	467072.8311
541	466818.9068
542	466713.9718
543	466246.1566
544	466050.2063
545	465433.3792
546	465087.6708
547	464484.1375
548	464294.0224
549	464001.0204
550	463590.6867
551	463046.8259
552	462582.7611
553	462006.4777
554	461940.0812
555	461758.6955
556	461161.2182
557	461024.6671
558	460636.4087
559	460607.059
560	460499.5256
561	459153.4966
562	459047.7316
563	458503.5347
564	457510.0161
565	457156.894
566	456991.9127
567	456489.9097
568	456174.2803
569	455732.5824
570	455304.0095
571	455013.0743
572	454551.4373
573	454038.5633
574	454017.9144
575	453839.4953
576	453766.9784
577	453291.4545
578	452979.5729
579	452875.6788
580	452107.3237
581	451429.1665
582	451192.9187
583	450779.6232
584	450445.9707
585	449928.8283
586	449816.8735
587	449329.3811
588	449205.4546
589	448886.5826
590	447975.8042
591	446987.4009
592	446560.2174
593	445984.393
594	445897.0718
595	445399.1706
596	444990.5282
597	444863.0731
598	444431.1793
599	444121.9822
600	443691.6893
601	443472.9848
602	442785.3747
603	442695.023
604	442310.7798
605	442135.4873
606	441228.9669
607	440889.6957
608	440696.5987
609	440394.0536
610	439633.9977
611	439051.2509
612	439030.0376
613	438430.5421
614	437609.6935
615	437154.7017
616	436996.1085
617	436681.6638
618	436335.9982
619	435755.3825
620	435228.4635
621	434878.0782
622	434317.7217
623	433752.8286
624	433220.4854
625	432346.0898
626	432187.8426
627	431305.4971
628	431006.4687
629	430625.4779
630	430474.595
631	430239.537
632	430109.3931
633	429919.1451
634	429532.0328
635	429173.7204
636	429154.2827
637	428441.7874
638	428016.8204
639	427832.6662
640	427378.0919
641	427128.1791
642	426670.2811
643	426274.8261
644	425910.6461
645	425241.0842
646	425125.7831
647	424966.8449
648	424846.1849
649	424276.1013
650	424138.7705
651	423883.6299
652	423448.8519
653	423205.4965
654	422943.2573
655	422650.8014
656	421818.3039
657	421499.7296
658	421346.9646
659	421103.1026
660	420754.083
661	420386.8424
662	420313.6919
663	419672.6219
664	419576.2906
665	419391.6861
666	419140.5479
667	418931.8225
668	418482.1953
669	417956.3544
670	417871.9795
671	417504.8244
672	416815.4758
673	416361.3792
674	415798.037
675	415663.476
676	415136.4872
677	415105.3259
678	414926.8997
679	414563.0123
680	414179.1046
681	413792.0652
682	413425.2592
683	412952.1877
684	412830.5935
685	412174.5189
686	411734.0193
687	411500.998
688	411393.3616
689	410959.2335
690	410560.6782
691	410028.3044
692	409837.2902
693	409716.2045
694	409414.6026
695	408843.501
696	408318.9434
697	407863.1181
698	407829.0264
699	407393.6747
700	407326.372
701	407235.9019
702	407024.8203
703	407005.9532
704	406849.5342
705	406514.3956
706	406275.2006
707	406210.733
708	406030.9488
709	405789.8045
710	405673.1125
711	405307.7332
712	404933.5581
713	404526.6765
714	404419.1532
715	403884.0426
716	403580.7016
717	403252.499
718	403140.3442
719	403019.0529
720	402291.264
721	401798.9455
722	401642.7076
723	401149.825
724	400781.1312
725	400691.9607
726	400667.1807
727	400449.4348
728	400085.7533
729	399180.6162
730	399077.8596
731	398797.4238
732	398367.2865
733	398345.5803
734	397737.25
735	397200.4402
736	397025.4223
737	396938.8682
738	396634.3481
739	396573.7563
740	396328.4605
741	395433.8033
742	394948.7924
743	394533.3543
744	394262.4506
745	393924.6379
746	393299.182
747	393186.1855
748	392586.0126
749	391873.9678
750	391099.2032
751	391083.5142
752	390867.3745
753	390765.7791
754	390458.7566
755	390167.3608
756	390056.9737
757	389774.6972
758	389750.0865
759	389042.8949
760	388804.4111
761	388497.2248
762	387835.021
763	387559.3117
764	387542.2957
765	387345.6003
766	387202.7786
767	386872.7841
768	386603.1948
769	386376.8233
770	385723.1155
771	385365.1736
772	385320.9665
773	384966.8111
774	384145.0669
775	383930.3796
776	383487.0711
777	383288.9831
778	382996.0289
779	382800.0695
780	382382.3464
781	381820.0925
782	381681.8862
783	381565.0165
784	381512.8763
785	381213.628
786	380708.3413
787	380503.4662
788	380235.8297
789	380147.6172
790	379823.1724
791	379740.5471
792	379392.1541
793	379165.1934
794	378969.409
795	378612.1684
796	378276.6362
797	377967.1712
798	377868.1805
799	377746.7708
800	377574.926
801	377557.4266
802	377352.6722
803	376873.5684
804	376833.9676
805	376174.7821
806	376049.7753
807	376008.6864
808	375993.7465
809	375902.7389
810	375865.3332
811	375773.1222
812	375645.5423
813	375177.863
814	374895.7596
815	374572.107
816	374392.7114
817	373834.0409
818	373477.6927
819	373157.3689
820	373026.3973
821	372934.3483
822	372465.8132
823	372145.2928
824	371917.1548
825	371834.7556
826	371230.9519
827	370817.8443
828	370625.028
829	370517.4212
830	370282.1082
831	370173.6969
832	370082.1137
833	369993.2932
834	369584.4178
835	369531.8178
836	369080.1596
837	368861.3538
838	368326.2967
839	367846.5848
840	367449.8894
841	367411.1774
842	366779.3697
843	366211.9915
844	365822.8577
845	365782.8058
846	365229.7642
847	364956.7105
848	364854.5866
849	364212.7622
850	364187.8436
851	363938.2265
852	363630.2297
853	363063.6571
854	363019.2762
855	362775.4997
856	362654.853
857	362314.2404
858	361947.1676
859	361644.6783
860	361100.7916
861	361030.3045
862	360974.134
863	360719.623
864	360604.2835
865	360121.2097
866	359786.3498
867	359504.0334
868	359190.5831
869	358697.1714
870	358514.508
871	358177.2816
872	357930.3557
873	357913.2131
874	357797.6042
875	357725.3391
876	357420.964
877	357406.0774
878	357151.261
879	357125.4678
880	356752.6125
881	356552.7138
882	355960.1272
883	355726.6666
884	355698.4377
885	355310.6273
886	355172.8863
887	354909.9074
888	354426.5349
889	354151.3186
890	354132.8262
891	354065.4243
892	353782.5296
893	353681.145
894	353476.0704
895	353099.6756
896	353087.0163
897	352972.6279
898	352720.1065
899	352327.4151
900	352288.3822
901	351981.3173
902	351753.3429
903	351543.9072
904	351256.7968
905	351168.2428
906	350501.2178
907	350242.9521
908	350126.9465
909	350034.1389
910	349650.8192
911	349595.3931
912	349016.7662
913	348274.9221
914	348228.8602
915	347902.9255
916	347695.2968
917	347640.1425
918	347509.7069
919	347240.6753
920	346715.7533
921	346367.1491
922	346349.0354
923	346146.4508
924	345982.1715
925	345732.0648
926	345457.7376
927	345102.6671
928	344808.1771
929	344686.9235
930	344618.4146
931	344423.0957
932	344209.2151
933	344148.5139
934	344099.4652
935	344021.4106
936	343748.9388
937	343679.6266
938	343278.1304
939	343171.489
940	342533.6326
941	342340.2181
942	342326.1024
943	341966.7327
944	341813.9701
945	341316.2675
946	341272.7825
947	340956.8668
948	340813.8494
949	340798.3517
950	340450.8258
951	340366.6471
952	340353.7518
953	339839.3897
954	339610.4647
955	339300.3728
956	338835.2812
957	338471.8191
958	338209.5631
959	338055.7798
960	337922.8151
961	337576.305
962	337515.8884
963	337433.1848
964	337234.2045
965	337147.3117
966	336810.302
967	336692.9504
968	336579.5583
969	336287.944
970	335955.2141
971	335664.168
972	335436.9188
973	335258.1542
974	334928.761
975	334676.5605
976	334628.5919
977	334478.3811
978	333811.075
979	333797.2631
980	333490.0444
981	332898.5248
982	332857.6071
983	332572.6388
984	331944.435
985	331857.161
986	331506.7408
987	331386.5439
988	331300.0615
989	331120.6699
990	330870.8772
991	330673.6867
992	330234.1724
993	329993.8442
994	329932.3125
995	329723.1141
996	329556.4119
997	329243.4005
998	329039.1851
999	328818.3198
